Number of Threads    Time (Seconds)  Speedup        
1                    106.459789      1.000000       
2                    55.656744       1.912792       
3                    38.229448       2.784759       
4                    29.000874       3.670917       
5                    24.467202       4.351122       
6                    38.976363       2.731394       
7                    39.451532       2.698496       
8                    38.125322       2.792364       
9                    36.152845       2.944714       
10                   35.612929       2.989358       
11                   42.802466       2.487235       
